property_id,location,rent (€),rent_frequency,monthly_rent (€),number_of_bedrooms,number_of_bathrooms,property_type,county,Density per sq km,Average Income (€),monthly_rent_scaled,bedrooms_scaled,bathrooms_scaled,density_scaled,income_scaled
3266a68e-1bb8-4414-8e68-b20801bfe020,"Churchtown Apartment, Churchill, Co. Donegal",170.0,week,738.65,1.0,1.0,Apartment,Donegal,34.4,39156.0,-1.8573132719875212,-1.1677841697609972,-0.8065369140414774,-1.008366130922674,-2.1574601630188375
46e4a06e-0d69-4ce5-8044-b01b4fc8d96b,"Cornafunshin, Ballinalee, Longford, Ballinamuck, Co. Longford",750.0,month,750.0,1.0,1.0,Apartment,Longford,42.9,41418.0,-1.8421810097748859,-1.1677841697609972,-0.8065369140414774,-0.9970940377886911,-1.837024713497408
61770fa2-25be-4000-afb2-d12b92eb03b9,"Brannockstown, Naas, Co. Kildare",750.0,month,750.0,2.0,1.0,Apartment,Kildare,146.2,55861.0,-1.8421810097748859,-0.3413114641619641,-0.8065369140414774,-0.8601049529957009,0.20897404752735166
801fee5f-9892-431a-9da5-158bfa926461,"Collins Avenue, Whitehall, Dublin 9",750.0,month,750.0,1.0,1.0,House,Dublin,1581.5,60804.0,-1.8421810097748859,-1.1677841697609972,-0.8065369140414774,1.0432874323225838,0.9092005846557452
fc941014-e7b5-4bf9-a793-a7489f83d399,"6 An Sraith Rua, Mullan Village, Mullan, Co. Monaghan",800.0,month,800.0,2.0,1.0,House,Monaghan,50.4,40024.0,-1.7755190617016017,-0.3413114641619641,-0.8065369140414774,-0.9871480732587063,-2.034499079824938
b3bb7c2d-ad5b-4735-8d46-cec80a1602b5,"Cahersiveen, Co. Kerry, Kells, Co. Kerry",800.0,month,800.0,2.0,1.0,House,Kerry,32.5,42674.0,-1.7755190617016017,-0.3413114641619641,-0.8065369140414774,-1.01088577527027,-1.6590994594748991
dd88b81c-2138-4b83-b9fd-7246ea5353c7,"Old Avenue, Riverstown, Riverstown, Co. Cork",800.0,month,800.0,4.0,3.0,House,Cork,77.5,52284.0,-1.7755190617016017,1.3116339470361023,1.3604656315367458,-0.9512099880903614,-0.2977446098281538
2d38faff-5011-4e35-92e0-5baa4a5a2547,"Apt. 16 Palm Court, Arva, Co. Cavan",800.0,month,800.0,2.0,2.0,Apartment,Cavan,42.3,43183.0,-1.7755190617016017,-0.3413114641619641,0.2769643587476342,-0.9978897149510899,-1.5869944003208727
6fa56127-60b5-4a74-a287-2278cba5cb00,"89 Walkinstown Park, Dublin 12, Ballymount, Dublin 12",800.0,month,800.0,2.0,1.0,House,Dublin,1581.5,60804.0,-1.7755190617016017,-0.3413114641619641,-0.8065369140414774,1.0432874323225838,0.9092005846557452
f30bac84-df40-437f-a760-07ab85011adb,"1 Teachini Kiely, Pound Street, Ballingarry, Co. Limerick, Ballingarry, Co. Limerick",825.0,month,825.0,1.0,1.0,House,Limerick,76.0,49272.0,-1.7421880876649596,-1.1677841697609972,-0.8065369140414774,-0.9531991809963583,-0.724425234920349
9abb47a3-fc24-47a9-be58-28577ee131b9,"Killyverry, Newtowncunningham, Newtown Cunningham, Co. Donegal",850.0,month,850.0,1.0,1.0,House,Donegal,34.4,39156.0,-1.7088571136283177,-1.1677841697609972,-0.8065369140414774,-1.008366130922674,-2.1574601630188375
5de53f69-d128-4cf3-8d22-12aada519f2d,"Cashel, Bunclody, Enniscorthy, Kilmyshall, Co. Wexford",850.0,month,850.0,2.0,1.0,House,Wexford,69.3,42906.0,-1.7088571136283177,-0.3413114641619641,-0.8065369140414774,-0.9620842426431447,-1.626234285165009
39174540-b571-451c-a1a3-544f1731d3a8,"Cornadowagh, Newtowncashel, Co. Longford",850.0,month,850.0,1.0,1.0,House,Longford,42.9,41418.0,-1.7088571136283177,-1.1677841697609972,-0.8065369140414774,-0.9970940377886911,-1.837024713497408
534b245f-63d1-44b3-b4d0-8fe0b1f34b56,"Flat 1 , 83 Sean Costello Street, Athlone, Athlone, Co. Westmeath",850.0,month,850.0,1.0,1.0,Apartment,Westmeath,52.3,46782.0,-1.7088571136283177,-1.1677841697609972,-0.8065369140414774,-0.9846284289111102,-1.0771592178152913
93ff9b69-4c37-4390-862f-4b3606a0eb70,"3 Glenn An Atha, Bedlam, Gortahork, Letterkenny, C, Falcarragh, Co. Donegal",850.0,month,850.0,3.0,2.0,House,Donegal,34.4,39156.0,-1.7088571136283177,0.485161241437069,0.2769643587476342,-1.008366130922674,-2.1574601630188375
888407ea-5e96-47db-b24d-a82cdb0944fd,"Lower Kilmacud Road Stillorgan, Co. Dublin, Mount Merrion, Co. Dublin",850.0,month,850.0,1.0,1.0,House,Dublin,1581.5,60804.0,-1.7088571136283177,-1.1677841697609972,-0.8065369140414774,1.0432874323225838,0.9092005846557452
793e6656-2222-473c-9fcb-4ea838d0bf57,"Off Celbridge Road, Leixlip, Co. Kildare",850.0,month,850.0,1.0,1.0,Apartment,Kildare,146.2,55861.0,-1.7088571136283177,-1.1677841697609972,-0.8065369140414774,-0.8601049529957009,0.20897404752735166
bab3ab9d-05c3-444a-b311-ccfdd62289ff,"Glencastle, Bunnahowen, Belmullet, Co. Mayo",850.0,month,850.0,1.0,1.0,House,Mayo,24.7,43480.0,-1.7088571136283177,-1.1677841697609972,-0.8065369140414774,-1.021229578381454,-1.5449213107948494
83945628-089b-4393-8420-61cc5ba2440b,"Millers Rest, Castlebridge, Co. Wexford",850.0,month,850.0,2.0,1.0,Apartment,Wexford,69.3,42906.0,-1.7088571136283177,-0.3413114641619641,-0.8065369140414774,-0.9620842426431447,-1.626234285165009
e1c37105-09d0-4bbe-b053-3d4823209d03,"1A Bridge End, Ramelton, Co. Donegal",850.0,month,850.0,1.0,1.0,Apartment,Donegal,34.4,39156.0,-1.7088571136283177,-1.1677841697609972,-0.8065369140414774,-1.008366130922674,-2.1574601630188375
c4bd5d6d-18b2-435a-97a1-421d63d57453,"Addison Hall, Addison Avenue, Addison Park, Finglas, Dublin 11",850.0,month,850.0,1.0,1.0,Apartment,Dublin,1581.5,60804.0,-1.7088571136283177,-1.1677841697609972,-0.8065369140414774,1.0432874323225838,0.9092005846557452
7a9289bd-bf9f-4c62-b0a4-398e70b7a6a7,"Moorhill, Brannockstown, Co. Kildare",870.0,month,870.0,1.0,1.0,Apartment,Kildare,146.2,55861.0,-1.682192334399004,-1.1677841697609972,-0.8065369140414774,-0.8601049529957009,0.20897404752735166
a18b36bb-1482-4441-80d7-e6b84803a1c8,"Toberdaly, Rhode, Rhode, Co. Offaly",875.0,month,875.0,2.0,1.0,House,Offaly,41.6,44108.0,-1.6755261395916756,-0.3413114641619641,-0.8065369140414774,-0.9988180049738884,-1.455958683783595
5148fa54-5e1c-464f-9554-a739427cdf0a,"Apartment 10 , Markee Homefarm Apartments, Clooneenroe, Toberscanavan, Co. Sligo",900.0,month,900.0,2.0,1.0,Apartment,Sligo,38.2,45599.0,-1.6421951655550335,-0.3413114641619641,-0.8065369140414774,-1.0033268422274815,-1.2447432747489127
7c5b3815-8266-4ad0-80dc-d2372d8c977b,"Woodview,Bailieborough,Co. Cavan, Bailieborough, Co. Cavan",900.0,month,900.0,3.0,1.0,House,Cavan,42.3,43183.0,-1.6421951655550335,0.485161241437069,-0.8065369140414774,-0.9978897149510899,-1.5869944003208727
d77e279e-e29d-436f-bdf0-f8a7e45f225e,"Ballyvaloo Upper , Blackwater, Co. Wexford",900.0,month,900.0,1.0,1.0,House,Wexford,69.3,42906.0,-1.6421951655550335,-1.1677841697609972,-0.8065369140414774,-0.9620842426431447,-1.626234285165009
aa83881b-e8ae-4a1c-abd8-de73d3c123bc,"harts corner, Glasnevin, Dublin 11",900.0,month,900.0,1.0,1.0,Apartment,Dublin,1581.5,60804.0,-1.6421951655550335,-1.1677841697609972,-0.8065369140414774,1.0432874323225838,0.9092005846557452
d8bc157a-1b18-4ea0-9ae7-c3f6d3934976,"Girley, Fordstown, Navan, Fordstown, Co. Meath",900.0,month,900.0,1.0,1.0,Apartment,Meath,94.3,53018.0,-1.6421951655550335,-1.1677841697609972,-0.8065369140414774,-0.9289310275431956,-0.19376599800289773
e1c5ad80-ed8d-41b2-b7cd-e93a21543e53,"Blackwater, enniscorthy, co. wexford, Blackwater, Co. Wexford",900.0,month,900.0,1.0,1.0,Apartment,Wexford,69.3,42906.0,-1.6421951655550335,-1.1677841697609972,-0.8065369140414774,-0.9620842426431447,-1.626234285165009
91df73c9-a9c3-4488-b146-08915589373a,"Oakwood, Benvoirlich Estate, Bishopstown, Co. Cork",900.0,month,900.0,1.0,1.0,Apartment,Cork,77.5,52284.0,-1.6421951655550335,-1.1677841697609972,-0.8065369140414774,-0.9512099880903614,-0.2977446098281538
8947bb1e-4246-43e0-9ded-36a7c7d61541,"Manorland, Trim, Co. Meath",900.0,month,900.0,1.0,1.0,Apartment,Meath,94.3,53018.0,-1.6421951655550335,-1.1677841697609972,-0.8065369140414774,-0.9289310275431956,-0.19376599800289773
0cf5e4a6-cd1a-4352-8a5d-d87ea624f09c,"53 Bridge Street, Cootehill, Cootehill, Co. Cavan",900.0,month,900.0,2.0,1.0,House,Cavan,42.3,43183.0,-1.6421951655550335,-0.3413114641619641,-0.8065369140414774,-0.9978897149510899,-1.5869944003208727
cb9e83c2-d0f5-459e-9d1a-614671f6c34f,"Bree, Enniscorthy, Co. Wexford",900.0,month,900.0,1.0,1.0,Apartment,Wexford,69.3,42906.0,-1.6421951655550335,-1.1677841697609972,-0.8065369140414774,-0.9620842426431447,-1.626234285165009
132c1f6a-7483-4b59-86cf-f0543fb37801,"Culleenduff, Strandhill, Co. Sligo",900.0,month,900.0,1.0,1.0,Apartment,Sligo,38.2,45599.0,-1.6421951655550335,-1.1677841697609972,-0.8065369140414774,-1.0033268422274815,-1.2447432747489127
0e16cec3-193b-4ef2-9a05-89a022113831,"Leitrim, Longford Town, Co. Longford",900.0,month,900.0,1.0,1.0,Apartment,Longford,42.9,41418.0,-1.6421951655550335,-1.1677841697609972,-0.8065369140414774,-0.9970940377886911,-1.837024713497408
7e26655b-7ac0-4e2e-a869-3e437ceacd6c,"Apartment 25, Block D, Hawthorn Crescent, Carrick-on-Shannon, Co. Roscommon",900.0,month,900.0,1.0,1.0,Apartment,Roscommon,27.6,44833.0,-1.6421951655550335,-1.1677841697609972,-0.8065369140414774,-1.01738380542986,-1.353255014065188
fb5213a6-d8c1-45d4-9483-be554c3a8779,"Argideen River Lodge, Timoleague, Bandon, Co. Cork",909.0,month,909.0,2.0,1.0,House,Cork,77.5,52284.0,-1.6301960149018424,-0.3413114641619641,-0.8065369140414774,-0.9512099880903614,-0.2977446098281538
67b5d7cd-6c80-40f6-b80d-fff4b781a658,"Coneyburrow Estate, Lifford, Lifford, Co. Donegal",950.0,month,950.0,3.0,1.0,House,Donegal,34.4,39156.0,-1.5755332174817493,0.485161241437069,-0.8065369140414774,-1.008366130922674,-2.1574601630188375
13ee03e7-ccce-428c-9f61-0f4da264592f,"Wells, Funshogue , Ballyedmond, Co. Wexford",950.0,month,950.0,2.0,1.0,Apartment,Wexford,69.3,42906.0,-1.5755332174817493,-0.3413114641619641,-0.8065369140414774,-0.9620842426431447,-1.626234285165009
4ee75ab4-5527-447c-8395-cfe8ebb08b0e,"Ballyprecas, Bunclody, Enniscorthy, Millroad, Co. Wexford",950.0,month,950.0,1.0,1.0,Apartment,Wexford,69.3,42906.0,-1.5755332174817493,-1.1677841697609972,-0.8065369140414774,-0.9620842426431447,-1.626234285165009
e289591e-6490-4d1d-acd1-d82b31dfe0c5,"Saint Nathy'S Terrace, Foxford, Foxford, Co. Mayo",950.0,month,950.0,2.0,1.0,House,Mayo,24.7,43480.0,-1.5755332174817493,-0.3413114641619641,-0.8065369140414774,-1.021229578381454,-1.5449213107948494
05b132ab-42a4-4b9c-ab41-91cf62a1cda9,"Ballytarsna, Mullinavat, Co. Kilkenny",950.0,month,950.0,3.0,2.0,House,Kilkenny,50.2,46510.0,-1.5755332174817493,0.485161241437069,0.2769643587476342,-0.9874132989795058,-1.1156908014889557
7e73ca20-e534-4350-84a0-40354e822956,"Roseilla, Aldergrove, Highfield West, Western Road, Co. Cork",950.0,month,950.0,5.0,2.0,House,Cork,77.5,52284.0,-1.5755332174817493,2.1381066526351353,0.2769643587476342,-0.9512099880903614,-0.2977446098281538
7cd27157-4df2-4345-8007-67a53d952967,"The Cottage Upper Faughart, Faughart, Co. Louth",1000.0,month,1000.0,1.0,1.0,House,Louth,169.1,45905.0,-1.5088712694084654,-1.1677841697609972,-0.8065369140414774,-0.8297366079641474,-1.2013952431160402
a6a37795-ff82-41b9-8a33-74047cb44276,"Arklow, Wellingtonbridge, Wexford, Garrycullen, Co. Wexford",1000.0,month,1000.0,1.0,1.0,Apartment,Wexford,69.3,42906.0,-1.5088712694084654,-1.1677841697609972,-0.8065369140414774,-0.9620842426431447,-1.626234285165009
0ec38e70-5b61-4c63-bc6e-15744924df4d,"4 Watch House Cottages, Knightstown, Valentia Isla, Knight's Town, Co. Kerry",1000.0,month,1000.0,2.0,2.0,House,Kerry,32.5,42674.0,-1.5088712694084654,-0.3413114641619641,0.2769643587476342,-1.01088577527027,-1.6590994594748991
5785d611-a778-43ab-9cf6-12f60cdb6c6e,"Lissacarn, Ballinamore, Co. Leitrim",1000.0,month,1000.0,3.0,1.0,House,Leitrim,21.9,42924.0,-1.5088712694084654,0.485161241437069,-0.8065369140414774,-1.0249427384726484,-1.6236844009513105
15d792ae-1438-4401-a70b-bcc475ae3003,"Apartment 4, Riverview Holiday Apartments, Kellistown, Co. Carlow",1000.0,month,1000.0,1.0,1.0,Apartment,Carlow,69.1,44000.0,-1.5088712694084654,-1.1677841697609972,-0.8065369140414774,-0.9623494683639443,-1.471257989065785
6e750c4f-35fd-4014-86a0-76719a025368,"Newbridge,Co. Kildare, Newbridge, Co. Kildare",1000.0,month,1000.0,1.0,1.0,Apartment,Kildare,146.2,55861.0,-1.5088712694084654,-1.1677841697609972,-0.8065369140414774,-0.8601049529957009,0.20897404752735166
99ff53dd-f9c6-4d6f-ba51-8eaf034d72f4,"16 Brook Lodge House, Oakview Village, Tralee, Co. Kerry",1000.0,month,1000.0,1.0,1.0,Apartment,Kerry,32.5,42674.0,-1.5088712694084654,-1.1677841697609972,-0.8065369140414774,-1.01088577527027,-1.6590994594748991
16a2ee9e-a954-46f9-ae76-aff6a345e0a9,"Moanmore, Fenagh, Co. Carlow",1000.0,month,1000.0,1.0,1.0,Apartment,Carlow,69.1,44000.0,-1.5088712694084654,-1.1677841697609972,-0.8065369140414774,-0.9623494683639443,-1.471257989065785
3691e59a-0421-4d39-8c18-5ab6672892a8,"The Cottage, Magherashanvally, Castlefin, Ballindrait, Co. Donegal",1000.0,month,1000.0,2.0,1.0,House,Donegal,34.4,39156.0,-1.5088712694084654,-0.3413114641619641,-0.8065369140414774,-1.008366130922674,-2.1574601630188375
ec8c44e6-2a41-478d-a3b4-2924ec2612b1,"64 Saint Joseph'S Place, Dorset Street Upper, Dubl, North Circular Road, Dublin 7",1000.0,month,1000.0,1.0,1.0,House,Dublin,1581.5,60804.0,-1.5088712694084654,-1.1677841697609972,-0.8065369140414774,1.0432874323225838,0.9092005846557452
a4b01457-b0f7-4cda-a6ca-1ee15917976c,"Ullard R95XH02, Graiguenamanagh, Co. Kilkenny",1000.0,month,1000.0,1.0,1.0,House,Kilkenny,50.2,46510.0,-1.5088712694084654,-1.1677841697609972,-0.8065369140414774,-0.9874132989795058,-1.1156908014889557
d57e11f7-a479-4798-a959-3737e78d7efa,"Cregga, Strokestown, Co. Roscommon",1000.0,month,1000.0,2.0,1.0,House,Roscommon,27.6,44833.0,-1.5088712694084654,-0.3413114641619641,-0.8065369140414774,-1.01738380542986,-1.353255014065188
da2f5d43-7e06-41df-8652-e818fa225107,"2 Reenascreena North, Rosscarbery, Co. Cork",1000.0,month,1000.0,2.0,2.0,House,Cork,77.5,52284.0,-1.5088712694084654,-0.3413114641619641,0.2769643587476342,-0.9512099880903614,-0.2977446098281538
324d36f0-c809-424a-9082-dd6959c60ee0,"Cashel, Annyalla, Annayalla, Co. Monaghan",1000.0,month,1000.0,3.0,1.0,House,Monaghan,50.4,40024.0,-1.5088712694084654,0.485161241437069,-0.8065369140414774,-0.9871480732587063,-2.034499079824938
29d6b51a-c0c6-4345-82f0-06eb29c95beb,"Mount Edward, Grange, Co. Sligo",1000.0,month,1000.0,1.0,1.0,Apartment,Sligo,38.2,45599.0,-1.5088712694084654,-1.1677841697609972,-0.8065369140414774,-1.0033268422274815,-1.2447432747489127
3c379a3f-636c-4271-a1f5-6f414000512b,"Main Street, Fethard, Fethard, Co. Tipperary",1000.0,month,1000.0,1.0,1.0,Apartment,Tipperary,39.0,44678.0,-1.5088712694084654,-1.1677841697609972,-0.8065369140414774,-1.0022659393442832,-1.3752123503498128
f36f853a-386a-4f98-ad63-ad799c9795ee,"Saint Anthony'S, Knockina, Gorey, Gorey, Co. Wexford",1000.0,month,1000.0,1.0,1.0,Apartment,Wexford,69.3,42906.0,-1.5088712694084654,-1.1677841697609972,-0.8065369140414774,-0.9620842426431447,-1.626234285165009
809adc26-7287-415b-8a5a-f7e147e2cd96,"accomommodation near Tracht beach, Kinvara, Kinvara, Co. Galway",1000.0,month,1000.0,1.0,1.0,Apartment,Galway,45.1,48765.0,-1.5088712694084654,-1.1677841697609972,-0.8065369140414774,-0.9941765548598955,-0.7962469736061867
87a440ea-e5d2-44ff-9aa9-cd9c00328377,"Chapel Street, Athlone,Co., Athlone, Co. Westmeath",1000.0,month,1000.0,1.0,1.0,Apartment,Westmeath,52.3,46782.0,-1.5088712694084654,-1.1677841697609972,-0.8065369140414774,-0.9846284289111102,-1.0771592178152913
4b984f81-7683-46c0-b5fc-2ed593cf6286,"Ullard R95XH02, Graiguenamanagh, Co. Kilkenny",1000.0,month,1000.0,1.0,1.0,House,Kilkenny,50.2,46510.0,-1.5088712694084654,-1.1677841697609972,-0.8065369140414774,-0.9874132989795058,-1.1156908014889557
df229b29-edf5-4eb4-bd57-aee8ecaa022e,"Shelbourne Square, North Circular Road, Limerick, North Circular Road, Co. Limerick",1000.0,month,1000.0,5.0,5.0,House,Limerick,76.0,49272.0,-1.5088712694084654,2.1381066526351353,3.5274681771149687,-0.9531991809963583,-0.724425234920349
458fe958-e80f-4f3d-b5ba-0728410686c6,"Drumkeith, Dundalk, Co. Louth",1000.0,month,1000.0,1.0,1.0,House,Louth,169.1,45905.0,-1.5088712694084654,-1.1677841697609972,-0.8065369140414774,-0.8297366079641474,-1.2013952431160402
88b4f9f7-1ca0-46d3-bee3-a125c1e2aa7d,"Eagles Crest, Garrane West, Killorglin, Co. Kerry",1000.0,month,1000.0,1.0,1.0,House,Kerry,32.5,42674.0,-1.5088712694084654,-1.1677841697609972,-0.8065369140414774,-1.01088577527027,-1.6590994594748991
c1b6ef96-ee48-4c2c-a7ad-e2e8725d6a74,"40 Dublin Street, Dundalk, Dundalk, Co. Louth",1000.0,month,1000.0,1.0,1.0,Apartment,Dublin,1581.5,60804.0,-1.5088712694084654,-1.1677841697609972,-0.8065369140414774,1.0432874323225838,0.9092005846557452
8306819d-ce07-4f52-8707-cb05ace10fd8,"8 Ard Na Scoile, Kilnaleck, Co. Cavan",1000.0,month,1000.0,2.0,3.0,House,Cavan,42.3,43183.0,-1.5088712694084654,-0.3413114641619641,1.3604656315367458,-0.9978897149510899,-1.5869944003208727
97c70b4e-f77e-4c21-9374-4994876ee793,"Fore, Mill Street, Tullow, Carlow, Tullow, Co. Carlow",1000.0,month,1000.0,2.0,1.0,House,Carlow,69.1,44000.0,-1.5088712694084654,-0.3413114641619641,-0.8065369140414774,-0.9623494683639443,-1.471257989065785
7c45afbb-f1e0-4a61-8f35-766e4fc96983,"7b Port Road, Letterkenny, Co. Donegal",1000.0,month,1000.0,1.0,1.0,House,Donegal,34.4,39156.0,-1.5088712694084654,-1.1677841697609972,-0.8065369140414774,-1.008366130922674,-2.1574601630188375
8c2d6c97-9c14-420a-8b62-68d13053c08a,"Kingsbry, Maynooth, Co. Kildare",1000.0,month,1000.0,1.0,1.0,Apartment,Kildare,146.2,55861.0,-1.5088712694084654,-1.1677841697609972,-0.8065369140414774,-0.8601049529957009,0.20897404752735166
eda51e0a-0c6e-4840-8b0c-0ee44d2dae64,"Chapel street , Johnstown, Co. Kilkenny",1000.0,month,1000.0,2.0,1.0,Apartment,Kilkenny,50.2,46510.0,-1.5088712694084654,-0.3413114641619641,-0.8065369140414774,-0.9874132989795058,-1.1156908014889557
32f9c7ce-f9d8-4628-b45d-249714a9a985,"Apartment 2 , Manor Place, Manorcunningham, Co. Donegal",1050.0,month,1050.0,1.0,1.0,Apartment,Donegal,34.4,39156.0,-1.4422093213351812,-1.1677841697609972,-0.8065369140414774,-1.008366130922674,-2.1574601630188375
22c9be5d-8a0e-433c-b55c-4539993a85ef,"St Brendan's Street , Portumna, Co. Galway",1050.0,month,1050.0,1.0,1.0,Apartment,Galway,45.1,48765.0,-1.4422093213351812,-1.1677841697609972,-0.8065369140414774,-0.9941765548598955,-0.7962469736061867
4776a711-f5c3-4e88-a6f9-e4ac700f2f0b,"Aghalattive, Creeslough, Letterkenny, Creeslough, Co. Donegal",1050.0,month,1050.0,3.0,1.0,House,Donegal,34.4,39156.0,-1.4422093213351812,0.485161241437069,-0.8065369140414774,-1.008366130922674,-2.1574601630188375
e5a4e702-8c6c-476a-a22c-730cf337f3da,"Cardy Rock Drive, Balbriggan, Co. Dublin",1082.0,month,1082.0,1.0,1.0,Apartment,Dublin,1581.5,60804.0,-1.3995456745682795,-1.1677841697609972,-0.8065369140414774,1.0432874323225838,0.9092005846557452
14468570-96f3-4bf2-b51a-4b78128883cd,"Shrulegrove, Shrule, Galway, Carrowmore, Co. Galway",250.0,week,1086.25,1.0,1.0,Apartment,Galway,45.1,48765.0,-1.3938794089820503,-1.1677841697609972,-0.8065369140414774,-0.9941765548598955,-0.7962469736061867
592a2ddb-34bc-4638-af37-56a9dd958c59,"1167 Colville Street, Rosslare Harbour , Rosslare Strand, Co. Wexford",1090.0,month,1090.0,1.0,1.0,House,Wexford,69.3,42906.0,-1.3888797628765541,-1.1677841697609972,-0.8065369140414774,-0.9620842426431447,-1.626234285165009
595b4a9e-eff6-4b3c-9ca7-5d97cb832616,"3 Main Street, Elphin, Co. Roscommon",1100.0,month,1100.0,2.0,1.0,House,Roscommon,27.6,44833.0,-1.3755473732618972,-0.3413114641619641,-0.8065369140414774,-1.01738380542986,-1.353255014065188
